,User,Date,Tweet,Positive,Negative,Neutral,Tweets Ago,Compound
393,Fox,Sat Jun 02 06:05:34 +0000 2018,"Another @CSSconfeu on the cards. Fantastic work by @kriesse, @rtrospekt and dozens of volunteers.

Unchangeably, th… https://t.co/0qdL5MQR6q",0.184,0.816,0.0,94,0.5574
394,Fox,Fri Jun 01 08:58:09 +0000 2018,"@jackiebackwards thank you for the tweet quote in your slides 😂 

I really enjoyed your talk! A refreshing look on… https://t.co/9VxunPHA3d",0.285,0.715,0.0,95,0.7495
395,Fox,Thu May 31 15:51:08 +0000 2018,I’m happy products like @TransferWise pop up to truly disrupt banking. I’ve just transferred some funds with a $350… https://t.co/myErV7CYC3,0.363,0.637,0.0,96,0.8442
396,Fox,Thu May 31 14:23:46 +0000 2018,"RT @KimCrayton1: I'd like to announce @patriciarealini as the 1st confirmed speaker for @causeasceneconf Berlin June 4th

If you are from a…",0.106,0.894,0.0,97,0.3612
397,Fox,Thu May 31 12:46:11 +0000 2018,"@borisschapira Thank you!

In some cases, possibly. Hosting in resorts or further from major transport hubs increas… https://t.co/xTmZPkJrO1",0.141,0.859,0.0,98,0.4199
398,Fox,Thu May 31 10:49:36 +0000 2018,"RT @Katrina_HRM: The more often a woman said that she prioritizes home/family over work, the larger the controlled gender pay gap becomes,…",0.0,0.935,0.065,99,-0.1027
399,Fox,Thu May 31 10:27:28 +0000 2018,"RT @melkargi: I love you @sarahcuda. Love 💖

""Silicon Valley is not data-driven' it is all about 'pattern-recognition'. Data shows us women…",0.318,0.682,0.0,100,0.8555
400,nytimes,Sun Jun 10 02:25:06 +0000 2018,RT @amyvirshup: Kris Kobach email in group of documents released in connection with census lawsuit says he talked to Wilbur Ross about citi…,0.0,0.921,0.079,1,-0.2263
401,nytimes,Sun Jun 10 02:15:35 +0000 2018,"Before leaving the annual meeting of major world powers, President Trump said that on a scale of 0 to 10, ""the rela… https://t.co/5dSqlZmSHy",0.0,1.0,0.0,2,0.0
402,nytimes,Sun Jun 10 02:05:49 +0000 2018,Documents Show Political Lobbying in Census Question About Citizenship https://t.co/41VoR04bNy,0.0,0.874,0.126,3,-0.0772
403,nytimes,Sun Jun 10 02:03:04 +0000 2018,"Venomous stonefish are ugly, and they're poisonous. And now scientists have discovered that they carry switchblades. https://t.co/YsJ7HkazJa",0.0,0.682,0.318,4,-0.7906
404,nytimes,Sun Jun 10 01:56:53 +0000 2018,"Trudeau’s office responded to Trump's tweets with a statement: ""We are focused on everything we accomplished here a… https://t.co/wQERlgpNnJ",0.256,0.744,0.0,5,0.6705
405,nytimes,Sun Jun 10 01:47:24 +0000 2018,"The ice over Manhattan would have buried even the tallest skyscraper. As it melted, giant boulders embedded deep wi… https://t.co/ulWgedMV5w",0.0,1.0,0.0,6,0.0
406,nytimes,Sun Jun 10 01:35:50 +0000 2018,"Trudeau sought to play down personal clashes with Trump as he wrapped up the G-7 summit, saying he leaves “inspired… https://t.co/gY0bzq4klo",0.107,0.893,0.0,7,0.34
407,nytimes,Sun Jun 10 01:30:41 +0000 2018,Nick Cave Wants You to Work It Out on the Dance Floor https://t.co/GMPPrGqLh7,0.0,1.0,0.0,8,0.0
408,nytimes,Sun Jun 10 01:18:36 +0000 2018,"Janelle Monáe brings a pair of big fuzzy socks on the road. ""I like to moonwalk when I’m on the tour bus. It’s my f… https://t.co/jbf5ZtCzC8",0.094,0.906,0.0,9,0.3612
409,nytimes,Sun Jun 10 01:03:05 +0000 2018,"RT @kimseverson: Here's a sketch of Bourdain’s last couple of days in the medieval village where he died, from @MilanSchreuer of the @nytim…",0.0,0.854,0.146,10,-0.5574
410,nytimes,Sun Jun 10 00:04:46 +0000 2018,Judge Stops Deportation of a New York Pizza Delivery Man https://t.co/HvmhAiLkvU,0.0,0.849,0.151,11,-0.1531
411,nytimes,Sat Jun 09 23:43:28 +0000 2018,RT @nytimestravel: This year would have been Leonard Bernstein's 100th birthday. Celebrate his rich musical legacy at these events around t…,0.278,0.722,0.0,12,0.8074
412,nytimes,Sat Jun 09 23:43:02 +0000 2018,"Breaking News: President Trump upended two days of diplomacy, refusing to sign a Group of 7 statement and calling P… https://t.co/Y0hQKylGpt",0.0,0.87,0.13,13,-0.4019
